"Campaign name","Ad set name",Gender,Age,"Ad name","Amount spent (THB)",Reach,Impressions,"Link clicks","Landing page views","Website adds to cart","Website purchases","Website purchases conversion value","Reporting starts","Reporting ends"
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Lookalike",unknown,45-54,"Double Day 6.6 | 1-7June 2026",0.44001626,7,10,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,55-64,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.43001256,1,1,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026 -Lookalike",female,65+,"Live | 10 June 2026",0.43,20,21,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day  -Broad",male,65+,"Pay Day  |  25-30 June 2026",0.42161388,21,22,1,1,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,unknown,65+,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.41,1,3,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,unknown,65+,"Test - Branding - เปลี่ยนโอากาสพิเศษ",0.40080299,9,12,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month  -Broad",unknown,18-24,"Mid Month  | 15-17June 2026",0.39999072,11,14,1,1,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,unknown,35-44,"Test - Service - ซื้อทองออนไลน์อย่างมั่นใจ",0.39034375,15,17,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,unknown,18-24,"Test - Trust - ช่องทางชำระเงิน",0.39030082,20,21,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,unknown,18-24,"Test - Trust - AURORA มั่นใจ มาตรฐานระดับโลก!",0.39006067,20,22,1,1,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day  -Broad",unknown,25-34,"Pay Day  |  25-30 June 2026",0.38146017,16,21,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Live | June 2026","Live | June 2026 -Lookalike",male,55-64,"Live | 10 June 2026",0.38,15,15,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,55-64,"Gems of The Day | 21- 30 Jun 26",0.36212082,6,9,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Board-Conversion,unknown,65+,"Gems of The Day | 21- 30 Jun 26",0.36212082,4,6,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Lookalike,unknown,45-54,"ผ่อนทอง 0% June 2026",0.3607308,27,30,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Retargeting-Conversion,unknown,18-24,"Gems of The Day | 21- 30 Jun 26",0.3319901,5,25,,,1,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day -Lookalike",female,65+,"Pay Day  |  25-30 June 2026",0.33045323,8,10,1,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day -Retargeting",female,55-64,"Pay Day  |  25-30 June 2026",0.33043137,9,10,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month -Retargeting",unknown,35-44,"Mid Month  | 15-17June 2026",0.33,14,17,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,unknown,45-54,"Test - Branding - มากกว่ามูลค่าทอง คือความสุข",0.32028235,6,8,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Always On",Gold-Broad,unknown,65+,"ผ่อนทอง 0% June 2026",0.32002722,7,20,1,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Retargeting",unknown,45-54,"Double Day 6.6 | 1-7June 2026",0.32,3,3,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Mid Month |","Mid Month -Retargeting",male,18-24,"Mid Month  | 15-17June 2026",0.31,14,17,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Conversion | Always On",Gold-Lookalike-Conversion,unknown,35-44,"ปีเซี๊ยะนำโชค 1-10 June 2026-Conversion",0.31,6,6,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic | Test | June 2026",Gold-Broad,unknown,18-24,"Test - Branding - เปลี่ยนโอากาสพิเศษ",0.30060224,12,14,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Pay Day","Pay Day -Lookalike",male,55-64,"Pay Day  |  25-30 June 2026",0.2903983,4,8,,,,,,2026-06-01,2026-06-26
"4040 | ONN | website Traffic Campaign  | Double Day 6.6 | 1-7June 2026","Double Day 6.6 | 1-7June 2026-Broad",unknown,45-54,"Double Day 6.6 | 1-7June 2026",0.29003062,8,9,,,,,,2026-06-01,2026-06-26
